,text,screen_name,id_str,created_at,lat,lon,is_reply,count_hashtags,count_usernames,count_url,polarity,afinn_score,pred_polarity
1,my mom hate my hair  and i didnt even ask for her opini,kuhlohe,7.59980312495477E+017,Mon Aug 01 05:13:20 +0000 2016,33.8189095,-118.036983,0,0,0,0,NA,-3,0.404
2,usernametoken usernametoken usernametoken usernametoken appl and orang there is no ride share biz in israel thank to govt,mikejgr,7.6000524055269E+017,Mon Aug 01 06:52:24 +0000 2016,34.0207895,-118.4119065,1,0,4,0,NA,2,0.902
3,cant sleep,allaaayyy,7.60030424324112E+017,Mon Aug 01 08:32:28 +0000 2016,33.8893475,-117.9248925,0,0,0,0,NA,4,0.028
4,i cannot sleep,Bighomiejeo_,7.60046972610879E+017,Mon Aug 01 09:38:13 +0000 2016,33.935822,-117.397616,0,0,0,0,NA,4,0.068
5,happi birthday usernametoken love you girl hope you have a great day,GucciLo_19,7.60085125480653E+017,Mon Aug 01 12:09:50 +0000 2016,33.8189095,-118.036983,0,0,1,0,1,11,0.95
6,i cant sleep,Michellesue22,7.60371388678939E+017,Tue Aug 02 07:07:20 +0000 2016,34.0207895,-118.4119065,0,0,0,0,0,4,0
7,cant sleep,leyvadom,7.60381882655609E+017,Tue Aug 02 07:49:02 +0000 2016,33.900901,-118.0071635,0,0,0,0,NA,4,0.02
8,i cant sleep,jaycieloomer,7.60391955746402E+017,Tue Aug 02 08:29:04 +0000 2016,33.6658655,-117.3149705,0,0,0,0,NA,4,0.02
9,cant sleep,china089,7.60393903677649E+017,Tue Aug 02 08:36:48 +0000 2016,34.0976985,-117.386642,0,0,0,0,0,4,0.02
10,cant sleep,barenakedcats,7.60396201787167E+017,Tue Aug 02 08:45:56 +0000 2016,33.935822,-117.397616,0,0,0,0,NA,4,0.02
11,i cant sleep,StudyMe11,7.60428484820738E+017,Tue Aug 02 10:54:13 +0000 2016,33.595946,-117.1103725,0,0,0,0,0,4,0
12,i cant sleep,maapquest,7.60428715557782E+017,Tue Aug 02 10:55:08 +0000 2016,34.0207895,-118.4119065,0,0,0,0,NA,4,0
13,lol my mom is so funni  not,floresjen99,7.6059017137286E+017,Tue Aug 02 21:36:42 +0000 2016,33.9759175,-118.0188555,0,0,0,0,NA,7,0.128
14,trump cant lose  he can onli be cheat out of a win,desparza4220,7.6095678224821E+017,Wed Aug 03 21:53:29 +0000 2016,34.18216,-118.325145,0,0,0,1,NA,7,0.198
15,i never thought id say this but i want tobin heath to score so bad shes been work her ass off this game   hashtoken olympics2016,AvellaAmanda,7.60985416975561E+017,Wed Aug 03 23:47:16 +0000 2016,33.859093,-117.585658,0,1,0,0,1,-6,0.546
16,just an updat yesterday i found usernametoken and usernametoken at disney when i was get in at space mountain,officialamy_lee,7.6270822459206E+017,Mon Aug 08 17:53:05 +0000 2016,33.7913075,-118.317686,0,0,2,0,1,0,0.506
17,usernametoken get stop by airport secur off to a good start on travel day  hashtoken startbig,ThatSanchezGirl,7.66353525349552E+017,Thu Aug 18 19:18:13 +0000 2016,34.0207895,-118.4119065,0,1,1,1,1,2,0.58
18,bruh my human anatomi class is full of all old peopl,harris_chowhan,7.68182827120636E+017,Tue Aug 23 20:27:12 +0000 2016,33.810159,-117.824049,0,0,0,0,0,0,0.226
19,cranberri bean prettiest bean ive seen so far,milanyana,7.7051943339153E+017,Tue Aug 30 07:12:03 +0000 2016,33.758771,-118.3598605,0,1,0,1,1,0,0.784
